t,avg_cAMP,avg_Ca,avg_Ca_ER,avg_ATP,PKA_frac,avg_pSer845,avg_I1P,avg_pSer831,CaMKII_p_frac,min_cAMP,max_cAMP,gradient_index,stimulus,neck_avg_cAMP,head_avg_cAMP,head_neck_ratio
0.940000,0.345040,0.129323,198.735205,1995.885111,0.586026,0.477425,0.095272,0.872673,0.834814,0.007549,1995.887404,5784.494442,0.000000,nan,nan,nan
0.960000,0.346623,0.129920,198.711256,1995.899562,0.587050,0.486225,0.097440,0.880792,0.841051,0.007504,1995.901861,5758.111213,0.000000,nan,nan,nan
0.980000,0.348125,0.130516,198.687433,1995.913678,0.588011,0.494886,0.099595,0.888399,0.846912,0.007459,1995.915983,5733.310124,0.000000,nan,nan,nan
1.000000,0.349548,0.131112,198.663738,1995.927478,0.588913,0.503408,0.101737,0.895523,0.852423,0.007415,1995.929788,5710.005073,1.000000,nan,nan,nan
1.020000,0.350896,0.131708,198.640170,1995.940980,0.589759,0.511792,0.103866,0.902194,0.857613,0.007371,1995.943295,5688.116787,1.000000,nan,nan,nan
1.040000,0.352170,0.132303,198.616729,1995.954202,0.590552,0.520041,0.105981,0.908439,0.862504,0.007327,1995.956521,5667.572181,1.000000,nan,nan,nan
1.060000,0.353374,0.132898,198.593415,1995.967162,0.591296,0.528155,0.108082,0.914283,0.867118,0.007283,1995.969485,5648.303777,1.000000,nan,nan,nan
1.080000,0.354509,0.133492,198.570229,1995.979875,0.591993,0.536136,0.110169,0.919752,0.871475,0.007240,1995.982203,5630.249186,1.000000,nan,nan,nan
1.100000,0.355579,0.134085,198.547170,1995.992360,0.592645,0.543985,0.112242,0.924869,0.875595,0.007196,1995.994690,5613.350649,1.000000,nan,nan,nan
1.120000,0.356584,0.134678,198.524238,1996.004630,0.593254,0.551704,0.114302,0.929655,0.879493,0.007153,1996.006964,5597.554619,1.000000,nan,nan,nan
1.140000,0.357528,0.135271,198.501434,1996.016703,0.593823,0.559295,0.116347,0.934132,0.883185,0.007111,1996.019040,5582.811391,1.000000,nan,nan,nan
1.160000,0.358412,0.135862,198.478758,1996.028593,0.594354,0.566758,0.118379,0.938318,0.886686,0.007068,1996.030932,5569.074760,1.000000,nan,nan,nan
1.180000,0.359238,0.136454,198.456209,1996.040314,0.594848,0.574096,0.120396,0.942232,0.890008,0.007026,1996.042655,5556.301726,1.000000,nan,nan,nan
1.200000,0.360008,0.137044,198.433787,1996.051881,0.595307,0.581310,0.122399,0.945892,0.893164,0.006984,1996.054224,5544.452218,1.000000,nan,nan,nan
1.220000,0.360723,0.137634,198.411493,1996.063307,0.595732,0.588402,0.124387,0.949314,0.896165,0.006943,1996.065652,5533.488847,1.000000,nan,nan,nan
1.240000,0.361386,0.138223,198.389326,1996.074607,0.596126,0.595373,0.126362,0.952512,0.899020,0.006901,1996.076953,5523.376689,1.000000,nan,nan,nan
1.260000,0.361997,0.138811,198.367287,1996.085792,0.596489,0.602225,0.128322,0.955502,0.901739,0.006860,1996.088139,5514.083079,1.000000,nan,nan,nan
1.280000,0.362558,0.139398,198.345375,1996.096877,0.596822,0.608960,0.130268,0.958296,0.904332,0.006819,1996.099225,5505.577429,1.000000,nan,nan,nan
1.300000,0.363072,0.139984,198.323591,1996.107871,0.597127,0.615579,0.132200,0.960908,0.906804,0.006778,1996.110219,5497.819525,1.000000,nan,nan,nan
1.320000,0.363538,0.140570,198.301934,1996.118789,0.597405,0.622084,0.134117,0.963348,0.909165,0.006738,1996.121137,5490.796040,1.000000,nan,nan,nan
1.340000,0.363959,0.141154,198.280404,1996.129642,0.597657,0.628476,0.136020,0.965629,0.911420,0.006698,1996.131990,5484.481367,1.000000,nan,nan,nan
